Date,Open,High,Low,Close,Volume,Close Time
1556236800000,0.00011900,0.00047000,0.00011900,0.00023500,1061774172.00000000,1556323199999
1556323200000,0.00023500,0.00025700,0.00022800,0.00023500,204940573.00000000,1556409599999
1556409600000,0.00023300,0.00023500,0.00018700,0.00019100,213630520.00000000,1556495999999
1556496000000,0.00019200,0.00019800,0.00015900,0.00016000,159163291.00000000,1556582399999
1556582400000,0.00016100,0.00023100,0.00016100,0.00020000,284312700.00000000,1556668799999
1556668800000,0.00020100,0.00021100,0.00018700,0.00019800,146696467.00000000,1556755199999
1556755200000,0.00019800,0.00021600,0.00017100,0.00017900,132610670.00000000,1556841599999
1556841600000,0.00017800,0.00018600,0.00016900,0.00017700,50882951.00000000,1556927999999
1556928000000,0.00017800,0.00018300,0.00016900,0.00017300,37409349.00000000,1557014399999
1557014400000,0.00017300,0.00017700,0.00015900,0.00016300,30801981.00000000,1557100799999
1557100800000,0.00016200,0.00017700,0.00015600,0.00017100,51288398.00000000,1557187199999
1557187200000,0.00016800,0.00017400,0.00016100,0.00016100,28769455.00000000,1557273599999
1557273600000,0.00016100,0.00017300,0.00015700,0.00016300,79118938.00000000,1557359999999
1557360000000,0.00016300,0.00017100,0.00015400,0.00016700,84008096.00000000,1557446399999
1557446400000,0.00016700,0.00019800,0.00016200,0.00019300,118688867.00000000,1557532799999
1557532800000,0.00019300,0.00023500,0.00018700,0.00021900,156718541.00000000,1557619199999
1557619200000,0.00022100,0.00027200,0.00021500,0.00025300,218242818.00000000,1557705599999
1557705600000,0.00025400,0.00039800,0.00024900,0.00037000,424202072.00000000,1557791999999
1557792000000,0.00036800,0.00047500,0.00030500,0.00033100,395361387.00000000,1557878399999
1557878400000,0.00032600,0.00037800,0.00026700,0.00035600,203963453.00000000,1557964799999
1557964800000,0.00035600,0.00046400,0.00030100,0.00041400,187175651.00000000,1558051199999
1558051200000,0.00041400,0.00061000,0.00038100,0.00056300,746638039.00000000,1558137599999
1558137600000,0.00056400,0.00058100,0.00042100,0.00042800,268524346.00000000,1558223999999
1558224000000,0.00042900,0.00070400,0.00042900,0.00069200,447574237.00000000,1558310399999
1558310400000,0.00069300,0.00119000,0.00065500,0.00100300,682845164.00000000,1558396799999
1558396800000,0.00100300,0.00160000,0.00075300,0.00091000,954324369.00000000,1558483199999
