Date,Open,High,Low,Close,Volume,Close Time
1632700800000,1.71300000,1.80000000,1.60000000,1.63200000,3238531.80000000,1632787199999
1632787200000,1.63100000,1.67600000,1.59500000,1.61000000,1985891.20000000,1632873599999
1632873600000,1.60600000,1.71900000,1.60000000,1.65300000,2074776.40000000,1632959999999
1632960000000,1.65000000,1.74100000,1.63300000,1.72200000,2817311.60000000,1633046399999
1633046400000,1.72200000,1.97000000,1.71100000,1.91000000,4646824.40000000,1633132799999
1633132800000,1.91000000,2.04900000,1.83200000,1.97900000,5994938.40000000,1633219199999
1633219200000,1.97900000,2.00800000,1.90500000,1.94300000,3521661.80000000,1633305599999
1633305600000,1.94400000,1.95900000,1.82100000,1.89900000,6868419.20000000,1633391999999
1633392000000,1.89900000,1.95100000,1.86000000,1.92800000,3634885.40000000,1633478399999
1633478400000,1.93100000,1.95500000,1.78000000,1.89200000,4196055.90000000,1633564799999
1633564800000,1.89400000,1.96500000,1.82700000,1.91700000,3501144.70000000,1633651199999
1633651200000,1.91600000,1.96000000,1.86700000,1.92600000,3457725.30000000,1633737599999
1633737600000,1.92800000,2.00900000,1.90300000,1.95400000,3499263.90000000,1633823999999
1633824000000,1.95400000,1.97100000,1.85100000,1.85800000,2391995.50000000,1633910399999
1633910400000,1.85900000,1.91500000,1.80600000,1.83200000,2139927.20000000,1633996799999
1633996800000,1.83000000,1.90000000,1.73000000,1.86600000,2708849.50000000,1634083199999
1634083200000,1.86500000,2.34000000,1.77700000,2.02300000,14097273.00000000,1634169599999
1634169600000,2.02300000,2.20400000,1.97100000,2.00300000,6692221.80000000,1634255999999
1634256000000,2.00300000,2.15100000,1.89700000,1.97200000,6447091.30000000,1634342399999
1634342400000,1.97200000,2.22800000,1.96500000,2.02000000,5514997.50000000,1634428799999
1634428800000,2.02000000,2.13900000,1.99300000,2.06800000,4031975.20000000,1634515199999
1634515200000,2.07000000,2.22200000,2.01000000,2.06600000,4972005.70000000,1634601599999
1634601600000,2.06300000,2.09000000,1.98400000,2.03300000,2960711.40000000,1634687999999
1634688000000,2.03100000,2.09900000,1.97300000,2.06100000,2893448.80000000,1634774399999
1634774400000,2.06200000,2.08100000,1.95500000,1.99500000,3596401.60000000,1634860799999
1634860800000,1.99400000,2.13000000,1.97400000,2.05600000,5073899.70000000,1634947199999
1634947200000,2.05400000,2.21000000,2.02600000,2.13400000,6902576.00000000,1635033599999
1635033600000,2.13400000,2.14400000,2.00000000,2.02300000,3036490.20000000,1635119999999
1635120000000,2.02500000,2.07100000,2.01100000,2.03400000,2804795.50000000,1635206399999
1635206400000,2.03400000,2.07000000,1.98600000,1.99600000,3062521.30000000,1635292799999
1635292800000,1.99600000,2.07000000,1.80700000,1.83000000,4398908.40000000,1635379199999
1635379200000,1.82900000,1.91700000,1.77600000,1.87800000,2795393.90000000,1635465599999
1635465600000,1.87800000,1.94700000,1.85100000,1.92200000,2304243.10000000,1635551999999
1635552000000,1.92200000,1.94000000,1.84100000,1.88100000,2635450.90000000,1635638399999
1635638400000,1.88100000,2.00000000,1.85700000,1.91500000,4192960.10000000,1635724799999
1635724800000,1.91500000,1.98900000,1.88000000,1.93800000,2768859.80000000,1635811199999
1635811200000,1.93800000,2.09800000,1.90200000,2.09100000,5484022.60000000,1635897599999
