Date,Open,High,Low,Close,Volume,Close Time
1615507200000,1.92040000,1.98650000,1.71940000,1.82420000,11848411.24000000,1615593599999
1615593600000,1.82280000,2.00070000,1.75460000,1.93150000,10955109.44000000,1615679999999
1615680000000,1.93100000,2.94500000,1.76000000,2.68000000,78956755.54000000,1615766399999
1615766400000,2.67820000,3.20000000,2.25100000,2.28750000,54754747.61000000,1615852799999
1615852800000,2.28750000,2.88630000,2.11000000,2.86440000,34698983.99000000,1615939199999
1615939200000,2.86820000,3.04700000,2.50000000,2.71400000,23309148.39000000,1616025599999
1616025600000,2.71330000,2.90000000,2.61300000,2.67390000,15055664.88000000,1616111999999
1616112000000,2.67370000,3.15000000,2.54130000,3.12050000,18582800.45000000,1616198399999
1616198400000,3.12030000,3.50000000,2.92790000,2.97180000,32872906.55000000,1616284799999
1616284800000,2.97440000,3.57900000,2.85550000,3.48160000,30961759.32000000,1616371199999
1616371200000,3.48020000,3.97120000,3.24620000,3.53450000,32052962.83000000,1616457599999
1616457600000,3.52330000,3.81300000,3.21790000,3.31660000,20902209.02000000,1616543999999
1616544000000,3.31660000,3.45750000,2.63660000,2.79800000,21790965.48000000,1616630399999
1616630400000,2.79320000,2.95030000,2.50000000,2.68690000,23059757.76000000,1616716799999
1616716800000,2.68770000,2.97650000,2.68690000,2.85930000,13593234.48000000,1616803199999
1616803200000,2.86170000,3.29500000,2.77490000,3.09060000,16734448.52000000,1616889599999
1616889600000,3.09260000,3.45000000,3.00000000,3.16700000,14595934.16000000,1616975999999
1616976000000,3.16180000,3.26660000,3.03360000,3.22900000,8903349.01000000,1617062399999
1617062400000,3.23240000,3.44570000,3.09500000,3.34690000,13505803.24000000,1617148799999
1617148800000,3.34980000,3.35120000,2.85050000,3.23440000,13009854.19000000,1617235199999
1617235200000,3.23450000,3.25000000,2.85500000,2.96550000,10113029.94000000,1617321599999
1617321600000,2.96550000,3.12000000,2.87690000,3.01700000,9977443.29000000,1617407999999
1617408000000,3.01370000,3.15000000,2.67320000,2.72140000,12194362.49000000,1617494399999
1617494400000,2.71990000,2.97000000,2.67800000,2.93680000,7625985.60000000,1617580799999
1617580800000,2.93670000,3.22000000,2.77000000,3.07380000,14391314.61000000,1617667199999
1617667200000,3.07410000,3.14710000,2.80000000,2.93780000,11716387.14000000,1617753599999
1617753600000,2.94040000,2.96910000,2.52830000,2.63650000,13300711.94000000,1617839999999
1617840000000,2.63650000,2.90630000,2.59990000,2.87770000,11124632.44000000,1617926399999
